protocol_id,domain,stem,bridge_time_index,bridge_time_value,single_epoch,reciprocal_KDD,reciprocal_KDD_M16,aio_anchor_deflection,single_anchor_deflection,proposal_floor,proposal_floor_M16,floor_aio_on_aio,floor_single_on_aio,floor_aio_on_single,floor_single_on_single,aio_checkpoint_sha256,single_checkpoint_sha256,image_sha256,proposal_seed,rollout_seed,M,target_content_read
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0254,1,0.5,3,0.9618137199758932,0.9617664132970914,0.6657214932725124,1.257905946679274,4.93838894222165e-08,5.0266135254162236e-08,4.93838894222165e-08,3.6637359812630166e-15,2.1355340940054646e-08,1.021405182655144e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,1ab2aace770438f6345e7f442edea6a379f683f2af55e08c93705d90f588c8b3,8403700708321113567,813338502899980824,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0254,2,0.74,3,1.1185880608791359,1.1186354543363342,0.7540468013429436,1.483129320415328,1.4253713542800028e-08,5.079700627907968e-07,1.4253713542800028e-08,8.659739592076221e-15,1.9564532216520547e-09,6.084022174945858e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,1ab2aace770438f6345e7f442edea6a379f683f2af55e08c93705d90f588c8b3,7637683859726460491,6415939663111196466,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0254,3,0.8600000000000001,3,1.1438707509660726,1.1438241295117915,0.7960462204018313,1.491695281530314,2.087930521144088e-06,3.5345311664158885e-06,2.087930521144088e-06,3.4416913763379853e-15,1.283523582973345e-07,5.306866057708248e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,1ab2aace770438f6345e7f442edea6a379f683f2af55e08c93705d90f588c8b3,7625439184138215982,6459833408132883022,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0574,1,0.5,3,0.8479138213997632,0.8478659637554042,0.37291132969461427,1.3229163131049122,1.7021950005080555e-07,1.0395202498791889e-07,1.7021950005080555e-07,4.440892098500626e-15,1.0031475594640682e-07,1.0880185641326534e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,f79b0506bd2b870f3257e64aeca9f4ca82c59b917883ff297c070300de6f8472,3713047102678187638,9145751462535851048,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0574,2,0.74,3,1.0809849169841907,1.0810482966500516,0.5466753275905616,1.6152945063778201,3.548089488880635e-08,4.8104938810134e-08,3.548089488880635e-08,8.215650382226158e-15,4.458165614451559e-09,5.4067861299245124e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,f79b0506bd2b870f3257e64aeca9f4ca82c59b917883ff297c070300de6f8472,5637054497776236285,442422899939682755,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0574,3,0.8600000000000001,3,1.149791564290471,1.149727948951603,0.6924538787971692,1.6071292497837728,6.463655015664926e-07,1.2125640602711485e-06,6.463655015664926e-07,9.547918011776346e-15,3.130049719413108e-08,1.5332179970073412e-13,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,f79b0506bd2b870f3257e64aeca9f4ca82c59b917883ff297c070300de6f8472,7560343224635826139,3325540740108765338,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0635,1,0.5,3,0.6793126106274869,0.6792887583943581,0.3421716573876764,1.0164535638672976,2.070490112693335e-09,5.997853058659075e-08,2.070490112693335e-09,2.4424906541753444e-15,1.6234467103970474e-09,5.551115123125783e-15,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,2895117b28abc657a8983a053b37fd02b99a634a21db078170e95ebbd40a8f98,2461100814992292968,1806056070707177848,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0635,2,0.74,3,0.9831817047225008,0.9831576699758886,0.4983368831776025,1.468026526267399,6.570931554428228e-08,2.6580163292599934e-08,6.570931554428228e-08,2.4424906541753444e-15,1.223769396929697e-08,1.532107773982716e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,2895117b28abc657a8983a053b37fd02b99a634a21db078170e95ebbd40a8f98,9183247772529026359,888335229184227152,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0635,3,0.8600000000000001,3,1.0851024310025554,1.0851993890853975,0.6407178639266313,1.5294869980784798,2.545574547818674e-07,5.935372304755049e-09,2.545574547818674e-07,1.887379141862766e-15,1.6271198832740197e-08,2.919886554764162e-14,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,2895117b28abc657a8983a053b37fd02b99a634a21db078170e95ebbd40a8f98,4871991380010669198,7673993081831186467,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__1040,1,0.5,3,0.6767802376780381,0.676783545378381,0.99631823946476,0.3572422358913161,8.760808745122972e-10,1.1727463444799469e-10,8.760808745122972e-10,3.774758283725532e-15,3.670547199519092e-10,4.884981308350689e-15,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,4bb63da1dda1676c2790424ec745108f0350d7a06cefec7094126243fd55fc5d,393a80279823acea2ebac5b7789e3443e3c5fd83193f3a23e97ed833e4147770,8598596552552330451,7806320418769923311,32,False
